종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
108380,대양전기공업,"11,650","-50","0.43","11,650","11,600","2,996","34,853,450","11,700","11,700","11,550","500",원(KRW),"9,567,333","111,459,429,450",
006580,대양제지,"19,050","100","0.53","19,050","18,900","2,506","46,627,400","18,750","19,150","18,350","5,000",원(KRW),"2,685,000","51,149,250,000",
215480,대우SBI스팩1호,"2,135","-10","0.47","2,135","2,110","7,798","16,481,365","2,165","2,170","2,105","100",원(KRW),"3,535,000","7,547,225,000",
204440,대우스팩2호,"2,005","-5","0.25","2,005","1,995","10,435","20,909,530","2,005","2,005","1,995","100",원(KRW),"5,750,000","11,528,750,000",
215580,대우스팩3호,"2,005","-20","0.99","2,005","2,000","21,375","42,967,950","2,010","2,035","1,995","100",원(KRW),"5,410,000","10,847,050,000",
048910,대원미디어,"12,800","50","0.39","12,850","12,800","261,067","3,392,757,400","12,750","13,350","12,600","500",원(KRW),"12,191,473","156,050,854,400",
005710,대원산업,"8,360","40","0.48","8,360","8,300","10,466","87,182,010","8,200","8,370","8,200","500",원(KRW),"18,216,000","152,285,760,000",
071460,대유위니아,"4,955","65","1.33","4,970","4,955","84,802","416,003,920","4,890","4,955","4,850","500",원(KRW),"24,111,530","119,472,631,150",
120240,대정화금,"12,950","-150","1.15","13,000","12,950","10,680","138,097,200","13,000","13,100","12,800","500",원(KRW),"6,048,727","78,331,014,650",
003310,대주산업,"2,120","-30","1.40","2,125","2,120","714,951","1,519,268,630","2,170","2,195","2,000","500",원(KRW),"35,392,350","75,031,782,000",
078600,대주전자재료,"3,910","-115","2.86","3,915","3,910","20,072","77,964,705","4,025","4,025","3,830","500",원(KRW),"9,481,285","37,071,824,350",
065690,대진디엠피,"4,360","40","0.93","4,360","4,355","13,911","60,440,925","4,380","4,405","4,315","500",원(KRW),"13,648,051","59,505,502,360",
096350,대창솔루션,"3,205","-140","4.19","3,235","3,205","68,369","221,721,600","3,335","3,335","3,200","500",원(KRW),"11,200,000","35,896,000,000",
140520,대창스틸,"4,350","30","0.00","4,355","4,350","66,803","289,406,190","4,340","4,555","4,245","500",원(KRW),"14,566,000","63,362,100,000",
131220,대한과학,"6,970","-170","2.38","6,970","6,960","55,818","396,295,140","7,140","7,320","6,970","500",원(KRW),"7,156,281","49,879,278,570",
010170,대한광통신,"1,530","-30","1.92","1,540","1,530","136,815","209,745,355","1,555","1,580","1,520","500",원(KRW),"46,962,073","71,851,971,690",
054670,대한뉴팜,"20,650","750","3.77","20,700","20,650","448,465","9,060,086,450","20,200","20,650","19,800","500",원(KRW),"14,354,920","296,429,098,000",
023910,대한약품,"30,000","-1,100","3.54","30,150","30,000","25,322","765,352,650","30,600","30,950","29,900","500",원(KRW),"6,000,000","180,000,000,000",
