종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가,통화구분,상장주식수(주),상장시가총액(원),총카운트
095570,AJ네트웍스,"31,500","-350","1.10","31,800","31,500","16,884","532,500,350","31,850","31,850","31,350","5,000",원(KRW),"9,364,459","294,980,458,500",895
068400,AJ렌터카,"9,980","-320","3.11","10,000","9,980","273,989","2,775,587,260","10,350","10,400","9,950","500",원(KRW),"22,146,300","221,020,074,000",
006840,AK홀딩스,"60,600","1,200","2.02","60,600","60,500","47,742","2,880,048,300","59,400","61,000","58,900","5,000",원(KRW),"13,247,561","802,802,196,600",
027410,BGF리테일,"185,000","4,500","2.49","185,000","184,500","66,855","12,410,783,000","181,000","189,000","180,500","1,000",원(KRW),"24,773,964","4,583,183,340,000",
138930,BNK금융지주,"9,420","-140","1.46","9,420","9,410","773,381","7,289,570,900","9,490","9,600","9,370","5,000",원(KRW),"325,935,246","3,070,310,017,320",
001460,BYC,"441,000","2,000","0.46","441,500","439,500","81","35,664,500","440,000","443,000","439,000","5,000",원(KRW),"624,615","275,455,215,000",
001465,BYC우,"190,500","500","0.26","190,500","189,500","4","762,000","190,500","190,500","190,500","5,000",원(KRW),"215,385","41,030,842,500",
001040,CJ,"181,500","-1,000","0.55","181,500","181,000","20,588","3,732,070,000","182,000","182,000","180,500","5,000",원(KRW),"29,173,998","5,295,080,637,000",
079160,CJ CGV,"69,700","-1,300","1.83","69,800","69,700","61,297","4,283,103,800","70,900","71,000","69,000","500",원(KRW),"21,161,313","1,474,943,516,100",
000120,CJ대한통운,"205,500","-4,500","2.14","206,000","205,500","27,107","5,592,838,000","209,000","209,500","205,000","5,000",원(KRW),"22,812,344","4,687,936,692,000",
011150,CJ씨푸드,"3,385","-25","0.73","3,395","3,385","214,959","741,866,305","3,410","3,540","3,385","500",원(KRW),"35,930,773","121,625,666,605",
011155,CJ씨푸드1우,"16,600","350","2.15","16,600","16,350","3,379","54,695,000","16,200","16,600","16,000","500",원(KRW),"200,000","3,320,000,000",
001045,CJ우,"78,600","-100","0.13","78,600","78,500","549","42,891,100","78,700","78,800","77,900","5,000",원(KRW),"2,260,223","177,653,527,800",
097950,CJ제일제당,"357,500","1,000","0.28","358,000","357,500","21,708","7,744,913,500","353,500","358,500","353,000","5,000",원(KRW),"13,161,898","4,705,378,535,000",
097955,CJ제일제당 우,"179,000","-2,500","1.38","179,000","178,500","2,416","432,888,500","179,500","181,000","178,000","5,000",원(KRW),"1,327,433","237,610,507,000",
037560,CJ헬로비전,"8,470","-130","1.51","8,470","8,460","76,974","651,923,020","8,630","8,630","8,400","2,500",원(KRW),"77,446,865","655,974,946,550",
000590,CS홀딩스,"88,200","500","0.57","88,200","87,300","205","17,968,500","89,000","89,000","87,200","5,000",원(KRW),"1,154,482","101,825,312,400",
139130,DGB금융지주,"9,670","-270","2.72","9,700","9,670","539,066","5,228,701,550","9,840","9,840","9,660","5,000",원(KRW),"169,053,154","1,634,743,999,180",
004840,DRB동일,"13,150","50","0.38","13,200","13,150","15,396","201,597,150","13,100","13,200","12,900","500",원(KRW),"18,510,000","243,406,500,000",
155660,DSR,"4,940","580","13.30","4,940","4,935","3,805,727","18,784,129,925","4,360","5,440","4,325","500",원(KRW),"16,000,000","79,040,000,000",
069730,DSR제강,"6,530","1,500","29.82","0","6,530","5,936,466","36,053,418,020","5,110","6,530","5,100","500",원(KRW),"14,400,000","94,032,000,000",
017940,E1,"61,100","-400","0.65","61,300","61,100","2,893","177,961,500","62,200","62,200","61,100","5,000",원(KRW),"6,860,000","419,146,000,000",
007700,F&F,"16,500","-750","4.35","16,550","16,500","63,095","1,045,072,850","17,200","17,200","16,400","500",원(KRW),"15,400,000","254,100,000,000",
114090,GKL,"22,050","-150","0.68","22,100","22,050","152,221","3,361,722,200","22,200","22,350","21,850","500",원(KRW),"61,855,670","1,363,917,523,500",
078930,GS,"51,900","100","0.19","51,900","51,800","82,135","4,259,305,600","51,400","52,300","51,300","5,000",원(KRW),"92,915,378","4,822,308,118,200",
006360,GS건설,"27,600","-1,100","3.83","27,650","27,600","558,325","15,534,215,100","28,400","28,400","27,600","5,000",원(KRW),"71,000,000","1,959,600,000,000",
001250,GS글로벌,"2,770","25","0.91","2,780","2,770","1,138,444","3,173,410,550","2,760","2,835","2,725","2,500",원(KRW),"82,533,764","228,618,526,280",
007070,GS리테일,"48,750","2,800","6.09","48,800","48,750","613,792","29,676,733,550","46,500","48,900","46,500","1,000",원(KRW),"77,000,000","3,753,750,000,000",
078935,GS우,"33,900","50","0.15","34,000","33,900","4,616","156,781,650","33,900","34,100","33,900","5,000",원(KRW),"1,784,826","60,505,601,400",
001500,HMC투자증권,"9,630","-10","0.10","9,630","9,600","39,566","379,880,820","9,680","9,680","9,580","5,000",원(KRW),"29,337,111","282,516,378,930",
003560,IHQ,"2,060","-30","1.44","2,060","2,055","925,972","1,921,849,495","2,090","2,120","2,055","500",원(KRW),"143,556,056","295,725,475,360",
175330,JB금융지주,"5,990","-60","0.99","5,990","5,980","338,877","2,023,728,010","6,050","6,060","5,940","5,000",원(KRW),"155,439,423","931,082,143,770",
234080,JW생명과학,"34,300","-8,650","20.14","34,350","34,300","5,241,795","194,374,079,850","40,650","40,750","33,250","5,000",원(KRW),"7,917,277","271,562,601,100",
001060,JW중외제약,"51,100","-5,900","10.35","51,100","51,000","673,553","35,811,059,000","57,000","57,300","50,000","2,500",원(KRW),"18,742,676","957,750,743,600",
001067,JW중외제약2우B,"36,050","-4,450","10.99","36,050","36,000","6,829","255,509,550","39,700","39,700","36,050","2,500",원(KRW),"82,805","2,985,120,250",
001065,JW중외제약우,"24,500","-3,400","12.19","24,650","24,500","7,684","199,887,450","27,300","27,400","24,500","2,500",원(KRW),"157,763","3,865,193,500",
096760,JW홀딩스,"10,200","-2,500","19.69","10,250","10,200","3,421,099","38,165,548,400","12,450","12,600","10,000","500",원(KRW),"59,441,806","606,306,421,200",
